Korean (ko),Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
아픔,0,0,0,0,0,1,0,0
이루다,0,0,0,0,1,0,0,1
아프다,0,0,0,0,0,1,0,0
취득,0,1,0,0,0,0,0,0
곡예사,0,0,0,1,1,0,0,1
실행가능한,1,0,1,0,0,0,0,0
가산기,1,0,1,1,0,1,0,0
구애,0,1,0,0,0,0,0,0
고착하는,0,0,0,0,0,0,0,1
판결하다,0,0,0,1,0,0,0,0
행정의,0,0,0,0,0,0,0,1
훌륭한,0,0,0,0,1,0,0,1
해군대장,0,0,0,0,0,0,0,1
감탄,0,0,0,0,1,0,0,1
감탄하다,0,0,0,0,0,0,0,1
허용할만한,0,0,0,0,0,0,0,1
훈계,0,0,0,1,0,0,0,0
홀딱반할만한,0,0,0,0,1,0,0,0
동경,0,0,0,0,1,0,0,1
경앙하다,0,1,0,0,1,0,0,1
떠돌아,0,1,0,1,0,1,0,0
간통,0,0,1,0,0,1,0,0
전진,0,1,0,1,1,0,1,0
출현,0,1,0,0,1,0,0,1
모험,0,1,0,0,0,0,0,0
적,1,0,0,0,0,0,0,0
불리한,1,0,1,1,0,1,0,0
역경,1,0,0,1,0,1,0,0
조언,0,0,0,0,0,0,0,1
타당한,0,0,0,0,0,0,0,1
권하다,0,0,0,0,0,0,0,1
조언받은,0,0,0,0,0,0,0,1
고문,0,0,0,0,0,0,0,1
옹호,1,1,0,0,1,0,0,1
대변자,0,0,0,0,0,0,0,1
미학,0,0,0,0,1,0,0,0
애정,0,0,0,0,1,0,0,1
긍정하다,0,0,0,0,0,0,0,1
괴롭히다,0,0,0,1,0,1,0,0
고통,0,0,1,1,0,1,0,0
모욕,1,0,1,1,0,1,1,0
두려워하는,0,0,0,1,0,0,0,0
여파,1,0,1,1,0,1,0,0
악화된,1,0,0,0,0,0,0,0
악화시키는,1,0,0,0,0,1,0,0
악화,1,0,1,0,0,0,0,0
침략,1,0,0,1,0,0,0,0
적극적인,1,0,0,1,0,0,0,0
침략자,1,0,0,1,0,0,0,0
깜짝놀라,0,0,1,1,0,0,1,0
흥분한,1,0,0,0,0,0,0,0
동요,1,0,0,0,0,0,0,0
고뇌하는,0,0,0,1,0,0,0,0
고뇌,1,0,0,1,0,1,0,0
기분좋은,0,0,0,0,0,0,0,1
동의했다,0,0,0,0,0,0,0,1
협정,0,0,0,0,0,0,0,1
병든,0,0,0,1,0,1,0,0
공항,0,1,0,0,0,0,0,0
바람을피우다,0,0,1,0,0,0,0,0
유사,0,0,0,0,0,0,0,1
경보,0,0,0,1,0,0,1,0
놀라운,0,0,0,1,0,0,1,0
대주,1,0,1,1,0,1,0,0
경고,0,1,0,1,0,0,1,0
외계인,0,0,1,1,0,0,0,0
소외시키다,1,0,1,0,0,0,0,0
소외된,0,0,0,0,0,1,0,0
소원,1,0,1,1,0,1,0,0
살아있는,0,1,0,0,1,0,0,1
진술,1,0,0,0,0,0,0,0
충성,0,0,0,0,0,0,0,1
동맹,0,0,0,0,0,0,0,1
결연한,0,0,0,0,0,0,0,1
매력,0,1,0,0,1,0,1,0
동맹국,0,0,0,0,0,0,0,1
알로하,0,1,0,0,1,0,0,0
언쟁,1,0,0,0,0,0,0,0
몹시놀라게하다,0,0,0,0,0,0,1,0
놀랍게도,0,0,0,0,1,0,1,0
대사,0,0,0,0,0,0,0,1
큰뜻,0,1,0,0,1,0,0,1
구급차,0,0,0,1,0,0,0,1
매복,1,0,0,1,0,0,1,0
아멘,0,0,0,0,1,0,0,1
우호적인,0,0,0,0,1,0,0,0
암모니아,0,0,1,0,0,0,0,0
특사,0,0,0,0,1,0,0,0
할부상환,0,0,0,0,0,0,0,1
암페타민,0,0,1,0,0,0,0,0
즐겁게하다,0,0,0,0,1,0,0,0
즐기는,0,0,0,0,1,0,0,0
즐거움,0,0,0,0,1,0,0,0
아나콘다,0,0,1,1,0,0,0,0
분석자,0,1,0,0,0,0,0,1
무정부주의,1,0,0,1,0,0,0,0
무정부주의자,1,0,0,1,0,0,0,0
무정부상태,1,0,0,1,0,0,0,0
저주,1,0,1,1,0,1,0,0
조상의,0,0,0,0,0,0,0,1
앵커리지,0,0,0,0,0,1,0,0
천사,0,1,0,0,1,0,1,1
천사의,0,0,0,0,1,0,0,1
분노,1,0,0,0,0,0,0,0
협심증,0,0,0,1,0,0,0,0
낚시,0,1,0,0,0,0,0,0
성난,1,0,1,0,0,0,0,0
격통,1,0,0,1,0,1,0,0
생기있는,0,0,0,0,1,0,0,0
악의,1,0,1,1,0,1,0,0
적의,1,0,0,0,0,0,0,0
억누르다,1,0,0,1,0,0,0,0
멸종된,1,0,0,1,0,1,0,0
전멸,1,0,0,1,0,1,0,0
발표,0,1,0,0,0,0,0,0
성가심,1,0,1,0,0,0,0,0
성가신,1,0,0,0,0,0,0,0
무효선언,0,0,0,0,0,1,0,0
변칙,0,0,0,1,0,0,1,0
답할수있는,0,0,0,0,0,0,0,1
반대,1,0,0,0,0,0,0,0
길항근,1,0,0,0,0,0,0,0
적대적인,1,0,1,0,0,0,0,0
탄저병,0,0,1,1,0,1,0,0
적그리스도,1,0,1,1,0,0,0,0
예기,0,1,0,0,0,0,0,0
예상하는,0,1,0,0,0,0,0,0
해독제,0,1,0,0,0,0,0,1
항진균성의,0,0,0,0,0,0,0,1
반감,1,0,1,0,0,0,0,0
방부제,0,0,0,0,0,0,0,1
반사회적인,1,0,1,1,0,1,0,0
대조법,1,0,0,0,0,0,0,0
걱정,1,1,0,1,0,1,0,0
불안한,0,1,0,1,0,0,0,0
아파치,0,0,0,1,0,0,0,0
냉담한,0,0,0,0,0,1,0,0
냉담,0,0,0,0,0,1,0,0
진딧물,0,0,1,0,0,0,0,0
사과하는,0,0,0,0,0,0,0,1
사과하다,0,0,0,0,0,1,0,1
사도,0,0,0,0,0,0,0,1
사도의,0,0,0,0,0,0,0,1
질리는,0,0,1,1,0,0,0,0
환영,0,0,0,1,0,0,1,0
항소,0,1,0,0,0,0,0,0
충수염,0,0,0,1,0,1,0,0
박수갈채,0,0,0,0,1,0,1,1
응모자,0,1,0,0,0,0,0,0
감사,0,0,0,0,1,0,0,1
깨닫다,0,0,0,1,0,0,0,0
우려,0,0,0,1,0,0,0,0
걱정스러운,0,1,0,1,0,0,0,0
도제,0,0,0,0,0,0,0,1
접근하는,0,1,0,0,0,0,0,0
허가,0,0,0,0,0,0,0,1
승인하다,0,0,0,0,1,0,0,1
중재인,0,0,0,0,0,0,0,1
중재,0,1,0,0,0,0,0,0
고고학,0,1,0,0,0,0,0,0
건축물,0,0,0,0,0,0,0,1
논하다,1,0,0,0,0,0,0,0
논의,1,0,0,0,0,0,0,0
입론,1,0,0,0,0,0,0,0
인수들,1,0,0,0,0,0,0,0
건조한,0,0,0,0,0,1,0,0
군비,1,0,0,1,0,0,0,0
무장한,1,0,0,1,0,0,0,0
갑옷,0,0,0,1,0,0,0,1
기갑된,0,0,0,1,0,0,0,0
병기고,0,0,0,0,0,0,0,1
깨우다,0,1,0,0,0,0,0,0
죄상인부,1,0,0,1,0,1,0,0
도착,0,1,0,0,0,0,0,0
태어나다,0,1,0,0,0,0,0,0
거만한,1,0,1,0,0,0,0,0
비소,0,0,1,1,0,1,0,0
방화,1,0,0,1,0,0,0,0
미술,0,1,0,0,1,1,1,0
포,0,0,0,1,0,0,0,0
부끄러워,0,0,1,0,0,1,0,0
재,0,0,0,0,0,1,0,0
ASP,0,0,0,1,0,0,0,0
포부,0,1,0,0,1,0,1,1
열망하는,0,1,0,0,1,0,0,0
공격하다,1,0,0,1,0,0,1,0
공격자,1,0,0,1,0,1,0,0
암살자,1,0,0,1,0,1,0,0
암살하다,1,0,0,1,0,0,0,0
암살,1,0,0,1,0,1,0,0
폭행,1,0,0,1,0,0,0,0
어셈블리,0,0,0,0,0,0,0,1
주장하는,0,0,0,0,0,0,0,1
평가,0,0,0,0,0,0,1,1
배석판사,0,0,0,0,0,0,0,1
돕다,0,0,0,0,0,0,0,1
동무,0,0,0,0,0,0,0,1
협회,0,0,0,0,0,0,0,1
보증,0,0,0,0,0,0,0,1
보증하다,0,0,0,0,0,0,0,1
자신있는,0,0,0,0,0,0,0,1
확실히,0,0,0,0,0,0,0,1
타락한,0,0,0,1,0,0,0,0
점성가,0,1,0,0,0,0,0,0
천문학자,0,1,0,0,0,0,0,0
보호시설,0,0,0,1,0,0,0,0
어울리지않음,0,0,1,0,0,0,0,0
죽상경화증,0,0,0,1,0,1,0,0
속죄하다,0,1,0,0,1,0,0,1
극악한,1,0,1,0,0,0,0,0
포악,1,0,1,1,0,1,0,0
위축,0,0,1,1,0,1,0,0
공격,1,0,0,1,0,0,0,0
공격의,1,0,1,1,0,1,1,0
이를수있는,0,1,0,0,0,0,0,0
시도,0,1,0,0,0,0,0,0
출석,0,1,0,0,0,0,0,0
참석자,0,0,0,0,0,0,0,1
친절한,0,0,0,0,0,0,0,1
감쇠,0,0,0,0,0,1,0,0
증언하다,0,0,0,0,0,0,0,1
증명,0,0,0,0,0,0,0,1
변호사,1,0,0,1,0,0,0,1
경매,0,1,0,0,0,0,0,0
청중,0,1,0,0,0,0,0,0
이모,0,0,0,0,0,0,0,1
길조,0,1,0,0,1,0,0,0
남풍,0,0,0,1,0,1,0,0
진정한,0,0,0,0,1,0,0,1
인증하다,0,0,0,0,0,0,0,1
입증,0,0,0,0,0,0,0,1
확실성,0,0,0,0,0,0,0,1
저자,0,0,0,0,0,0,0,1
권위있는,0,0,0,0,0,0,0,1
권위,0,0,0,0,0,0,0,1
권한부여,0,0,0,0,0,0,0,1
권한을부여하다,0,0,0,0,0,0,0,1
오토매틱,0,0,0,0,0,0,0,1
검시,0,0,1,1,0,1,0,0
눈사태,0,0,0,1,0,1,1,0
탐욕,1,0,1,0,0,0,0,0
복수자,1,0,0,0,0,0,0,0
회피,1,0,1,1,0,0,0,0
혐오,1,0,1,1,0,0,0,0
기피,0,0,0,1,0,0,0,0
피하는,0,0,0,1,0,0,0,0
기다리다,0,1,0,0,0,0,0,0
장학금,0,1,0,0,1,0,1,1
무서운,1,0,1,1,0,1,0,0
어색함,0,0,1,0,0,0,0,0
공리,0,0,0,0,0,0,0,1
공리같은,0,0,0,0,0,0,0,1
비비,0,0,1,0,0,0,0,0
아가,0,0,0,0,1,0,0,0
안저지,0,0,0,0,0,0,0,1
등뼈,1,0,0,0,0,0,0,1
후원자,0,0,0,0,0,0,0,1
지적부진,0,0,0,0,0,1,0,0
박테리아,0,0,1,1,0,1,0,0
나쁜,1,0,1,1,0,1,0,0
배지,0,0,0,0,0,0,0,1
오소리,1,0,0,0,0,0,0,0
나쁜상태,1,0,1,1,0,0,0,0
집행관,0,0,0,1,0,0,0,1
미끼,0,0,0,1,0,0,0,1
곤포,0,0,0,1,0,0,0,0
투표권,0,1,0,0,0,0,0,1
향유,0,1,0,0,1,0,0,0
독,1,0,1,1,0,0,0,0
쾅,1,0,1,1,0,1,1,0
소시지,1,1,0,1,0,0,1,0
덜어없애다,1,0,1,1,0,1,0,0
추방된,1,0,0,1,0,1,0,0
추방,1,0,1,0,0,1,0,0
은행,0,0,0,0,0,0,0,1
은행가,0,0,0,0,0,0,0,1
파산자,0,0,0,1,0,1,0,0
파산,1,0,1,1,0,1,0,0
연회,0,1,0,0,1,0,0,0
반시,1,0,1,1,0,1,0,0
침례의,0,0,0,0,1,0,0,0
미늘,1,0,0,0,0,0,0,0
야만인,0,0,0,1,0,0,0,0
야만인같은,1,0,1,1,0,0,0,0
바프,0,0,1,0,0,0,0,0
싸게사는물건,0,0,0,0,0,0,0,1
나무껍질,1,0,0,0,0,0,0,0
메마른,0,0,0,0,0,1,0,0
바리케이드,0,0,0,1,0,0,0,0
장벽,1,0,0,0,0,0,0,0
손수레,0,0,1,0,0,0,0,0
바텐더,0,0,0,0,0,0,0,1
물물교환,0,0,0,0,0,0,0,1
베이스,0,0,0,0,0,0,0,1
농구,0,1,0,0,1,0,0,0
잡종,0,0,1,0,0,1,0,0
능보,1,0,0,0,0,0,0,0
대대,1,0,0,0,0,0,0,0
반죽,1,0,0,1,0,0,0,0
오래써서낡은,0,0,0,1,0,1,0,0
배터리,1,0,0,0,0,0,0,0
전투,1,0,0,0,0,0,0,0
싸우다,1,0,0,1,0,1,0,0
싸움터,0,0,0,1,0,0,0,0
총검,1,0,0,1,0,0,0,0
바닷가,0,0,0,0,1,0,0,0
빔,0,0,0,0,1,0,0,0
빛나는,0,1,0,0,1,0,0,0
곰,1,0,0,1,0,0,0,0
곰같은,1,0,0,1,0,0,0,0
짐승,1,0,0,1,0,0,0,0
짐승같은,0,0,1,1,0,0,0,0
고동,1,0,0,1,0,1,0,0
아름다움,0,0,0,0,1,0,0,1
아름답게하다,0,0,0,0,1,0,0,0
근본적인,0,0,0,0,0,0,0,1
벌,1,0,0,1,0,0,0,0
맥주,0,0,0,0,1,0,0,0
빌다,0,0,0,0,0,1,0,0
거지,0,0,0,0,0,1,0,0
시작된,0,1,0,0,0,0,0,0
거대한짐승,0,0,0,1,0,0,0,0
믿었다,0,0,0,0,0,0,0,1
신자,0,0,0,0,0,0,0,1
믿는,0,0,0,0,0,0,0,1
얕보다,1,0,1,1,0,1,0,0
교전국,1,0,0,1,0,0,0,0
풀무,1,0,0,0,0,0,0,0
벨트,1,0,0,1,0,0,0,0
자비심,0,0,0,0,1,0,0,1
온화한,0,0,0,0,1,0,0,0
유증,0,0,0,0,0,0,0,1
잃은,0,0,0,0,0,1,0,0
여읨,0,0,0,0,0,1,0,0
맹렬한,1,0,0,0,0,0,0,0
팔다,1,0,1,0,0,1,1,0
배신,1,0,1,0,0,1,0,0
약혼자,0,1,0,0,1,0,0,1
조심성있는,0,1,0,1,0,0,0,0
당황,0,0,0,1,0,0,1,0
바이어스,1,0,0,0,0,0,0,0
말다툼하는,1,0,1,0,0,0,0,0
격년제의,0,1,0,0,0,0,0,0
뱃머리,1,0,1,1,0,0,0,0
편견없는,1,0,1,1,0,1,0,0
담즙,1,0,1,0,0,0,0,0
생검,0,0,0,1,0,0,0,0
자작나무,1,0,1,1,0,0,0,0
출생,0,1,0,1,1,0,0,1
생일,0,1,0,0,1,0,1,0
출생지,1,0,0,0,0,0,0,0
암캐,1,0,1,1,0,1,0,0
몹시,1,0,1,0,0,1,0,0
신랄,1,0,1,0,0,1,0,0
기괴한,0,0,0,0,0,0,1,0
검은,0,0,0,0,0,1,0,0
약탈,1,0,0,1,0,0,0,0
검음,0,0,0,1,0,1,0,0
비난,1,0,1,0,0,0,0,0
담요,0,0,0,0,0,0,0,1
불경스러운,1,0,1,0,0,0,0,0
신성모독,1,0,0,0,0,0,0,0
쏘다,1,0,0,1,0,0,1,0
떠들썩한,1,0,1,0,0,0,0,0
불꽃,1,0,0,0,0,0,0,0
차가운,0,0,0,0,0,1,0,0
출혈,0,0,1,1,0,1,0,0
흠,1,0,1,1,0,1,0,0
신을하다,0,1,0,0,1,0,0,1
축복받은,0,0,0,0,1,0,0,0
축복,0,1,0,0,1,0,0,1
마름병,0,0,1,1,0,1,0,0
황폐한,0,0,1,0,0,1,0,0
눈가리개,0,1,0,1,0,0,1,0
맹목적으로,0,0,0,0,0,1,0,0
맹목,0,0,0,0,0,1,0,0
다시없는기쁨,0,0,0,0,1,0,0,0
더없이행복한,0,0,0,0,1,0,0,0
물집,0,0,1,0,0,0,0,0
전격기습,0,0,0,0,0,0,1,0
부푼,0,0,1,0,0,0,0,0
얼룩,0,0,1,1,0,0,0,0
봉쇄,1,0,0,1,0,1,0,0
유혈,1,0,1,1,0,1,1,0
피에굶주린,1,0,1,1,0,0,0,0
피의,1,0,1,1,0,1,0,0
꽃,0,1,0,0,1,0,0,1
푸른,0,0,0,0,0,1,0,0
블루스,0,0,0,1,0,1,0,0
큰실수,0,0,1,0,0,1,0,0
판,0,1,0,0,0,0,0,0
친위대,0,0,0,0,0,0,0,1
가짜,1,0,1,0,0,0,0,0
종기,0,0,1,0,0,0,0,0
거친,1,1,0,0,1,0,0,0
폭탄,1,0,0,1,0,1,1,0
충격,1,0,0,1,0,0,0,0
폭격당한,0,0,1,0,0,0,0,0
마리화나담배,0,0,0,1,0,1,0,0
대성공,0,0,0,0,1,0,0,0
속박,0,0,0,1,0,1,0,0
보너스,0,1,0,0,1,0,1,0
부메랑,0,1,0,0,0,0,0,1
지루함,0,0,0,0,0,1,0,0
괴롭히는,1,0,0,0,0,1,0,0
바닥,0,0,0,0,0,1,0,0
밑바닥없는,0,0,0,1,0,0,0,0
하사품,0,1,0,0,1,0,0,1
꽃다발,0,0,0,0,1,0,0,1
합,1,0,0,0,0,0,0,0
소,0,0,1,0,0,0,0,0
창자,0,0,1,0,0,0,0,0
권투,1,0,0,0,0,0,0,0
소년,0,0,1,0,0,0,0,0
밀기울,0,0,1,0,0,0,0,0
말다툼,1,0,1,1,0,0,0,0
단단한,1,0,0,0,0,0,0,0
단절,0,0,0,0,0,0,1,0
수회,0,0,1,0,0,0,0,0
신부,0,1,0,0,1,0,0,1
신랑,0,1,0,0,1,0,0,1
신부들러리,0,0,0,0,1,0,0,1
여단,0,0,0,1,0,0,0,0
닦다,0,0,0,0,1,0,1,1
유황,1,0,0,1,0,0,0,0
현측,0,1,0,0,0,0,0,0
굽다,1,0,0,0,0,0,0,0
파산하다,0,0,0,1,0,1,0,0
부서진,1,0,0,1,0,1,0,0
매음굴,0,0,1,0,0,0,0,0
동료,0,0,0,0,0,0,0,1
형제간,0,0,0,0,0,0,0,1
타박상,0,1,0,0,0,0,0,0
정면의,1,0,0,0,0,0,0,0
잔인한,1,0,0,1,0,0,0,0
야만성,1,0,0,1,0,0,0,0
예산,0,0,0,0,0,0,0,1
뷔페,1,0,0,0,0,0,0,0
곤충,0,0,1,1,0,0,0,0
나팔,0,1,0,0,0,0,0,0
약한자를괴롭히는사람,1,0,0,1,0,0,0,0
부랑자,0,0,1,0,0,1,0,0
버머,1,0,1,0,0,0,0,0
벙커,0,0,0,1,0,0,0,0
짐이많은,0,0,0,1,0,1,0,0
관료,0,0,0,0,0,0,0,1
강도,0,0,1,1,0,0,0,0
매장,1,0,0,1,0,1,0,0
묻힌,0,0,0,1,0,1,0,0
버크,1,0,1,1,0,1,0,0
익살연극,0,0,0,0,0,0,1,0
탄,0,0,1,0,0,0,0,0
장례식,0,0,0,0,0,0,0,1
묻다,0,0,0,0,0,1,0,0
키스,0,0,0,0,1,0,0,0
체포된,1,0,0,1,0,0,0,0
푸주한,1,0,1,1,0,0,0,0
집사,0,0,0,0,0,0,0,1
버저소리,0,1,0,1,0,0,0,0
조례,0,0,0,0,0,0,0,1
음모,0,0,0,1,0,0,0,0
내각,0,0,0,0,0,0,0,1
케이블,0,0,0,0,0,0,1,0
불협화음,1,0,1,0,0,0,0,0
치사한사람,1,0,1,0,0,0,0,0
시체,0,0,1,1,0,1,1,0
재난,0,0,0,0,0,1,0,0
계산자,0,0,0,0,0,0,0,1
송아지,0,0,0,0,1,0,0,1
전화,0,1,0,0,0,0,0,1
위장,0,0,0,0,0,0,1,0
선거운동,1,0,0,1,0,0,0,0
취소,0,0,0,0,0,1,0,0
암,1,0,1,1,0,1,0,0
솔직한,0,1,0,0,1,0,1,1
지팡이,1,0,0,1,0,0,0,0
구강궤양,1,0,1,0,0,0,0,0
식인종,0,0,1,1,0,0,0,0
식인풍습,0,0,1,0,0,0,0,0
대포,0,0,0,0,0,0,0,1
캡,0,1,0,0,0,0,0,1
사로잡다,0,1,0,0,1,0,1,1
포로,0,0,0,1,0,1,0,0
체포자,0,0,0,1,0,0,0,0
암종,0,0,0,1,0,1,0,0
심근병증,0,0,0,1,0,1,0,0
직업,0,1,0,0,0,0,0,0
부주의,1,0,1,0,0,0,0,0
돌보는사람,0,0,0,0,0,0,0,1
카리에스,0,0,1,0,0,0,0,0
대학살,1,0,1,1,0,1,1,0
육식성의,0,0,0,1,0,0,0,0
탄약통,0,0,0,1,0,0,0,0
케이스,0,0,0,1,0,1,0,0
현금,1,1,0,1,1,0,0,1
출납원,0,0,0,0,0,0,0,1
작은상자,0,0,0,1,0,1,0,0
사상자수,1,0,0,1,0,1,0,0
백내장,0,1,0,1,0,1,0,0
대단원,1,0,1,1,0,1,1,0
잡기,0,0,0,0,0,0,1,0
교리문답,0,0,1,0,0,0,0,0
성당,0,0,0,0,1,0,0,1
주의의,0,0,0,1,0,0,0,0
조심성있게,0,0,0,1,0,0,0,0
유명한,0,1,0,0,1,0,0,0
축하,0,1,0,0,1,0,0,0
명성,1,1,1,0,1,0,1,1
중국인,0,1,0,0,1,0,0,0
시멘트,0,1,0,0,0,0,0,1
묘지,0,0,0,1,0,1,0,0
검열,1,0,1,1,0,0,0,1
센터,0,0,0,0,0,0,0,1
의식,0,0,0,0,1,0,1,0
증명하다,0,0,0,0,0,0,0,1
운,0,0,1,0,0,0,0,0
왕겨,1,0,0,1,0,0,0,0
억울함,0,0,1,0,0,1,0,0
의장,0,0,0,0,0,0,0,1
여자의장,0,0,0,0,0,0,0,1
도전,1,0,0,1,0,0,0,0
챔피언,0,1,0,0,1,0,0,1
기회,0,0,0,0,0,0,1,0
장관,0,0,0,0,0,0,0,1
변화,0,0,0,1,0,0,0,0
변하기쉬운,0,1,0,0,0,0,1,0
성가,1,1,0,0,1,0,1,0
혼돈,1,0,0,1,0,1,0,0
혼란스러운,1,0,0,0,0,0,0,0
예배당목사,0,0,0,0,0,0,0,1
청구할수있는,0,0,0,1,0,1,0,0
자비로운,0,1,0,0,1,0,0,1
자선,0,0,0,0,1,0,0,0
차트,0,0,0,0,0,0,0,1
차이,0,0,0,1,0,0,0,0
순결,0,1,0,0,0,0,0,1
사기,1,0,1,0,0,0,0,0
체크리스트,0,0,0,0,0,0,0,1
격려,0,1,0,0,1,0,1,1
쾌활한,0,0,0,0,1,0,1,0
쾌활함,0,1,0,0,1,0,0,1
응원,0,0,0,0,1,0,0,0
화학자,0,0,0,0,0,0,0,1
소중히하다,0,1,0,0,1,0,1,1
발뺌,0,1,0,0,0,0,1,1
치킨,0,0,0,1,0,0,0,0
어린이,0,1,0,0,1,0,0,0
어린시절,0,0,0,0,1,0,0,0
키메라,0,0,0,1,0,0,1,0
짹짹,0,0,0,0,1,0,0,0
초콜릿,0,1,0,0,1,0,0,1
성가대,0,0,0,0,1,0,0,1
초크,1,0,0,0,0,1,0,0
콜레라,0,0,1,1,0,1,0,0
합창,0,0,0,0,1,0,0,0
만성병환자,0,0,0,0,0,1,0,0
킬킬웃음,0,1,0,0,1,0,1,1
교회에,0,1,0,0,1,0,0,1
문명,0,0,0,0,0,0,0,1
원고,1,0,1,0,0,0,0,0
외치다,1,1,1,0,0,0,1,0
씨족,0,0,0,0,0,0,0,1
박수,0,1,0,0,1,0,0,1
갈고리발톱,1,0,0,1,0,0,0,0
깨끗한,0,0,0,0,1,0,0,1
재고정리,0,0,0,0,0,0,0,1
쪼개다,0,0,0,1,0,0,0,0
목사,0,0,0,0,0,0,0,1
낭떠러지,0,0,0,1,0,0,0,0
클라이맥스,0,1,0,0,1,0,1,1
시계,0,1,0,0,0,0,0,0
폐쇄,0,1,0,0,1,1,0,0
흐리게,0,0,0,0,0,1,0,0
흐린,0,0,0,0,0,1,0,0
시골뜨기,0,1,0,0,1,0,1,0
실마리,0,1,0,0,0,0,0,0
모양없는,0,0,1,0,0,0,0,0
코치,0,0,0,0,0,0,0,1
합체하다,0,0,0,0,0,0,0,1
동축케이블,0,0,0,0,0,0,0,1
코브라,0,0,0,1,0,0,0,0
코카인,0,0,0,0,0,1,0,0
억압하다,1,0,1,1,0,0,0,0
강제,1,0,1,1,0,1,0,0
공존하다,0,0,0,0,0,0,0,1
공존하는,0,0,0,0,0,0,0,1
관,0,0,0,1,0,1,0,0
원저하다,0,0,0,0,0,0,0,1
응집력,0,0,0,0,0,0,0,1
결합력있는,0,0,0,0,0,0,0,1
추위,1,0,1,1,0,1,0,0
협력자,0,0,0,0,0,0,0,1
무너짐,0,0,1,1,0,1,0,0
서로나란한,0,0,0,0,0,0,0,1
공동으로,0,0,0,0,0,0,0,1
공모,1,0,1,1,0,1,0,0
대령,0,0,0,0,0,0,0,1
혼수,0,0,0,1,0,1,0,0
기운없이졸리는,0,0,0,1,0,1,0,0
전투원,1,0,0,1,0,0,0,0
싸우는,1,0,0,1,0,0,0,0
위로,0,1,0,0,1,0,0,1
오는,0,1,0,0,0,0,0,0
사령관,0,0,0,0,0,0,0,1
당당한,0,0,0,0,0,0,0,1
기념하다,0,1,0,0,1,1,0,0
기념,0,1,0,0,1,0,0,0
기념품,0,1,0,0,0,0,0,0
상업,0,0,0,0,0,0,0,1
위원회,0,0,0,0,0,0,0,1
인도,0,0,0,0,0,1,0,0
저지른,0,0,0,0,0,0,0,1
준장,0,0,0,0,0,0,0,1
평범한,0,1,0,0,0,0,0,1
연방,0,0,0,0,0,0,0,1
소통하다,0,0,0,0,0,0,0,1
통신,0,0,0,0,0,0,0,1
친교,0,0,0,0,1,0,0,1
공산주의,1,0,0,1,0,1,0,0
콤팩트,0,0,0,0,0,0,0,1
동반자,0,0,0,0,1,0,0,1
나침반,0,0,0,0,0,0,0,1
측은히여김,0,0,0,1,0,0,0,0
보상하다,0,1,0,0,1,0,1,1
경쟁,0,1,0,0,0,0,0,0
불평하다,1,0,0,0,0,1,0,0
불평,1,0,0,0,0,0,0,0
보어,0,1,0,0,1,0,1,1
완료,0,1,0,0,1,0,0,0
완성,0,1,0,0,1,0,0,0
응낙,0,0,0,0,0,0,0,1
복잡하게하다,1,0,0,0,0,0,0,0
퇴비,0,0,1,0,0,0,0,0
압박붕대,1,0,0,0,0,0,0,0
감사관,0,0,0,0,0,0,0,1
숨기다,0,0,0,0,0,1,0,0
숨기는,0,1,0,1,0,0,1,0
